canton,year,profile,building_type,product,total_ex_vat_chf_kwh,grid_chf_kwh,energy_supply_chf_kwh,community_fees_chf_kwh,kev_chf_kwh,metering_var_chf_kwh,metering_fixed_chf_year,total_incl_vat_chf_kwh,grid_chf_kwh_incl_vat,energy_supply_chf_kwh_incl_vat,community_fees_chf_kwh_incl_vat,kev_chf_kwh_incl_vat,metering_var_chf_kwh_incl_vat
Glarus,2024,C2,appartement,Cheapest product,0.32488,0.15488,0.13699999999999998,0.01,0.023,,,0.35119528,0.16742527999999998,0.14809699999999998,0.01081,0.024863,
Zurich,2025,H5,maison_individuelle,Cheapest product,0.21159,0.09989,0.0632,0.0255,0.023,,,0.22872879,0.10798109,0.06831920000000001,0.027565499999999996,0.024863,
Thurgau,2024,C3,appartement,Cheapest product,0.29289000000000004,0.11348000000000001,0.142,0.0025,0.023,,,0.31661409,0.12267188000000001,0.15350199999999997,0.0027025,0.024863,
Vaud,2022,C3,appartement,Cheapest product,0.21053999999999998,0.0796,0.08223000000000001,0.025699999999999997,0.023,,,0.22759373999999996,0.0860476,0.08889063000000001,0.027781699999999996,0.024863,
Bern,2019,H5,maison_individuelle,Cheapest product,0.22121,0.11080999999999999,0.08503,0.015,0.023,,,0.23912800999999997,0.11978560999999999,0.09191743,0.016215,0.024863,
Obwalden,2024,H5,maison_individuelle,Cheapest product,0.27562000000000003,0.11694,0.12168,0.013999999999999999,0.023,,,0.29794522,0.12641214,0.13153608,0.015133999999999998,0.024863,
Lucerne,2023,H4,maison_individuelle,Cheapest product,0.2815,0.08994999999999999,0.15956,0.00899,0.023,,,0.30430149999999995,0.09723594999999999,0.17248436,0.00971819,0.024863,
Vaud,2018,C3,appartement,Cheapest product,0.17711,0.07192,0.07119,0.009000000000000001,0.023,,,0.19145590999999998,0.07774552,0.07695639,0.009729000000000002,0.024863,
Appenzell Innerrhoden,2022,C2,appartement,Cheapest product,0.19044,0.08268,0.08476,0.0,0.023,,,0.20586564,0.08937708,0.09162556,0.0,0.024863,
Schaffhausen,2023,C3,appartement,Cheapest product,0.21789000000000003,0.10329,0.0916,0.0,0.023,,,0.23553909000000003,0.11165649,0.0990196,0.0,0.024863,
Glarus,2025,H4,maison_individuelle,Cheapest product,0.31101,0.15601,0.122,0.01,0.023,,,0.33620181,0.16864681,0.131882,0.01081,0.024863,
Obwalden,2026,C3,appartement,Cheapest product,0.235,0.10221999999999999,0.09483000000000001,0.013999999999999999,0.023,0.00094,141.6,0.25403499999999996,0.11049981999999998,0.10251123000000001,0.015133999999999998,0.024863,0.00101614
Zurich,2023,C3,appartement,Cheapest product,0.23917000000000002,0.1158,0.07887,0.0215,0.023,,,0.25854277000000003,0.1251798,0.08525846999999999,0.0232415,0.024863,
Aargau,2019,C2,appartement,Cheapest product,0.19155999999999998,0.07873999999999999,0.08523,0.00458,0.023,,,0.20707635999999996,0.08511793999999999,0.09213363,0.00495098,0.024863,
Appenzell Innerrhoden,2023,H5,maison_individuelle,Cheapest product,0.23777,0.0801,0.13467,0.0,0.023,,,0.25702937,0.0865881,0.14557827,0.0,0.024863,
Thurgau,2021,C3,appartement,Cheapest product,0.16720500000000002,0.0815,0.0635,0.002,0.023,,,0.180748605,0.0881015,0.0686435,0.002162,0.024863,
Thurgau,2023,C3,appartement,Cheapest product,0.22039999999999998,0.0929,0.09699999999999999,0.002,0.023,,,0.23825239999999998,0.1004249,0.10485699999999998,0.002162,0.024863,
Neuchâtel,2021,H4,maison_individuelle,Cheapest product,0.21444,0.10296,0.07348,0.015,0.023,,,0.23180963999999998,0.11129976,0.07943188,0.016215,0.024863,
Valais,2024,C3,appartement,Cheapest product,0.24776,0.10132,0.11542999999999999,0.00804,0.023,,,0.26782856,0.10952691999999999,0.12477982999999998,0.00869124,0.024863,
Schaffhausen,2019,C3,appartement,Cheapest product,0.17120000000000002,0.08852,0.05968,0.0,0.023,,,0.18506720000000002,0.09569012,0.06451407999999999,0.0,0.024863,
Neuchâtel,2025,C2,appartement,Cheapest product,0.26314,0.12764,0.0965,0.016,0.023,,,0.28445433999999997,0.13797884,0.10431649999999999,0.017296,0.024863,
St Gallen,2018,H4,maison_individuelle,Cheapest product,0.184,0.08703,0.06138,0.006,0.023,,,0.198904,0.09407942999999999,0.06635178,0.006486,0.024863,
Bern,2023,H4,maison_individuelle,Cheapest product,0.249,0.11613,0.09086999999999999,0.015,0.023,,,0.269169,0.12553652999999998,0.09823046999999999,0.016215,0.024863,
Glarus,2022,H4,maison_individuelle,Cheapest product,0.22166,0.11975,0.0759,0.003,0.023,,,0.23961445999999997,0.12944975,0.08204789999999999,0.003243,0.024863,
Bern,2018,H5,maison_individuelle,Cheapest product,0.21295000000000003,0.10332000000000001,0.08663,0.015,0.023,,,0.23019895,0.11168892000000001,0.09364702999999999,0.016215,0.024863,
Zurich,2025,C3,appartement,Cheapest product,0.26017,0.1278,0.08387,0.0255,0.023,,,0.28124377,0.1381518,0.09066347,0.027565499999999996,0.024863,
Fribourg,2025,H4,maison_individuelle,Cheapest product,0.27542,0.10992,0.1425,0.0,0.023,,,0.29772902,0.11882352,0.15404249999999997,0.0,0.024863,
Schwyz,2020,H4,maison_individuelle,Cheapest product,0.21139,0.09353,0.07381,0.0124,0.023,,,0.22851259,0.10110593,0.07978861,0.013404399999999999,0.024863,
St Gallen,2019,C2,appartement,Cheapest product,0.19369499999999998,0.07309,0.07366,0.0087,0.023,,,0.20938429499999997,0.07901029,0.07962646,0.009404699999999998,0.024863,
Schwyz,2026,H4,maison_individuelle,Cheapest product,0.22466,0.0873,0.08976,0.0006,0.023,0.024,108.0,0.24285746,0.0943713,0.09703056,0.0006485999999999999,0.024863,0.025944
Lucerne,2026,H4,maison_individuelle,Cheapest product,0.24509,0.0873,0.113,0.008060000000000001,0.023,0.01373,61.8,0.26494228999999997,0.0943713,0.122153,0.008712860000000001,0.024863,0.014842129999999999
Appenzell Innerrhoden,2019,C2,appartement,Cheapest product,0.16667,0.07001,0.07366,0.0,0.023,,,0.18017027,0.07568081,0.07962646,0.0,0.024863,
Zurich,2024,C3,appartement,Cheapest product,0.26207,0.13271,0.08087,0.0255,0.023,,,0.28329767,0.14345950999999998,0.08742047,0.027565499999999996,0.024863,
Solothurn,2019,C3,appartement,Cheapest product,0.1962,0.08596999999999999,0.08513,0.01,0.023,,,0.2120922,0.09293357,0.09202553,0.01081,0.024863,
Jura,2021,H4,maison_individuelle,Cheapest product,0.25239999999999996,0.12353,0.09086999999999999,0.015,0.023,,,0.27284439999999993,0.13353593,0.09823046999999999,0.016215,0.024863,
Vaud,2021,H6,maison_individuelle,Cheapest product,0.18651,0.07753,0.061799999999999994,0.026000000000000002,0.023,,,0.20161731,0.08380993,0.06680579999999998,0.028106000000000003,0.024863,
Zurich,2026,C2,appartement,Cheapest product,0.24908000000000002,0.11835000000000001,0.08497,0.02,0.023,0.0027600000000000003,82.8,0.26925548,0.12793635,0.09185257,0.02162,0.024863,0.00298356
Thurgau,2020,C3,appartement,Cheapest product,0.17324,0.0886,0.0645,0.0031,0.023,,,0.18727244,0.09577659999999999,0.0697245,0.0033510999999999997,0.024863,
Obwalden,2024,C3,appartement,Cheapest product,0.27313,0.1051,0.13103,0.013999999999999999,0.023,,,0.29525353,0.1136131,0.14164343000000001,0.015133999999999998,0.024863,
Jura,2026,H4,maison_individuelle,Cheapest product,0.26896000000000003,0.11253,0.09887,0.017,0.023,0.01756,79.0,0.29074576,0.12164493,0.10687846999999999,0.018377,0.024863,0.01898236
Schwyz,2021,H2,maison_individuelle,Cheapest product,0.22587,0.10679999999999999,0.07439,0.0124,0.023,,,0.24416546999999997,0.11545079999999999,0.08041559,0.013404399999999999,0.024863,
Neuchâtel,2019,H4,maison_individuelle,Cheapest product,0.21924,0.09833,0.07827,0.015,0.023,,,0.23699843999999998,0.10629472999999999,0.08460987,0.016215,0.024863,
Obwalden,2019,C3,appartement,Cheapest product,0.18245999999999998,0.0787,0.06676,0.013999999999999999,0.023,,,0.19723925999999997,0.0850747,0.07216755999999999,0.015133999999999998,0.024863,
Valais,2020,C3,appartement,Cheapest product,0.16025999999999999,0.0584,0.07186,0.006999999999999999,0.023,,,0.17324105999999997,0.0631304,0.07768065999999998,0.007566999999999999,0.024863,
Aargau,2021,C4,appartement,Cheapest product,0.16637000000000002,0.07019,0.06906,0.0041199999999999995,0.023,,,0.17984597000000002,0.07587539,0.07465385999999999,0.0044537199999999996,0.024863,
Lucerne,2021,C2,appartement,Cheapest product,0.17317,0.07656,0.06595,0.00766,0.023,,,0.18719676999999998,0.08276136,0.07129194999999999,0.00828046,0.024863,
Schaffhausen,2024,C3,appartement,Cheapest product,0.2738,0.13369999999999999,0.11710000000000001,0.0,0.023,,,0.29597779999999996,0.14452969999999998,0.1265851,0.0,0.024863,
Grisons,2023,C2,appartement,Cheapest product,0.2346,0.08560000000000001,0.106,0.0095,0.023,,,0.2536026,0.09253360000000001,0.114586,0.010269499999999999,0.024863,
Thurgau,2025,C3,appartement,Cheapest product,0.26904,0.1091,0.13720000000000002,0.0031,0.023,,,0.29083223999999996,0.1179371,0.1483132,0.0033510999999999997,0.024863,
Glarus,2023,H2,maison_individuelle,Cheapest product,0.33175,0.15451,0.15124,0.003,0.023,,,0.35862174999999996,0.16702531,0.16349044000000001,0.003243,0.024863,
St Gallen,2020,H4,maison_individuelle,Cheapest product,0.19452999999999998,0.08473000000000001,0.0723,0.006,0.023,,,0.21028692999999998,0.09159313000000001,0.0781563,0.006486,0.024863,
