scenario,year,price_chf_kwh
neutral,2026,0.09813385173002924
neutral,2027,0.10157278667095981
neutral,2028,0.10513223327345737
neutral,2029,0.10881641466497942
neutral,2030,0.11262970196534611
neutral,2031,0.11657661947288243
neutral,2032,0.12066185003229996
neutral,2033,0.12489024059068692
neutral,2034,0.12926680794819861
neutral,2035,0.13379674471027103
neutral,2036,0.13848542544841963
neutral,2037,0.1433384130769331
neutral,2038,0.14836146545302736
neutral,2039,0.15356054220829096
neutral,2040,0.15894181181952688
neutral,2041,0.16451165892737993
neutral,2042,0.1702766919114333
neutral,2043,0.17624375073076132
neutral,2044,0.18241991503924132
neutral,2045,0.18881251258525275
neutral,2046,0.19542912790572967
neutral,2047,0.20227761132488145
neutral,2048,0.20936608826825867
neutral,2049,0.21670296890321442
neutral,2050,0.22429695811719955
neutral,2051,0.23215706584573015
optimistic,2026,0.09813385173002924
optimistic,2027,0.10010077889500939
optimistic,2028,0.10210712978996786
optimistic,2029,0.10415369459692718
optimistic,2030,0.10624127933577274
optimistic,2031,0.10837070618169599
optimistic,2032,0.1105428137890002
optimistic,2033,0.11275845762139644
optimistic,2034,0.11501851028891973
optimistic,2035,0.1173238618915981
optimistic,2036,0.11967542037000997
optimistic,2037,0.12207411186286779
optimistic,2038,0.12452088107176888
optimistic,2039,0.1270166916332571
optimistic,2040,0.1295625264983418
optimistic,2041,0.13215938831962368
optimistic,2042,0.13480829984617984
optimistic,2043,0.13751030432636374
optimistic,2044,0.14026646591867845
optimistic,2045,0.1430778701108853
optimistic,2046,0.14594562414751286
optimistic,2047,0.14887085746593445
optimistic,2048,0.15185472214118628
optimistic,2049,0.1548983933397011
optimistic,2050,0.15800306978213619
optimistic,2051,0.161169974215478
pessimistic,2026,0.09813385173002924
pessimistic,2027,0.10304479444691025
pessimistic,2028,0.10820149699022541
pessimistic,2029,0.11361625799503745
pessimistic,2030,0.1193019915608103
pessimistic,2031,0.12527225805128453
pessimistic,2032,0.1315412964356807
pessimistic,2033,0.13812405824836327
pessimistic,2034,0.14503624324795888
pessimistic,2035,0.1522943368609745
pessimistic,2036,0.15991564949921838
pessimistic,2037,0.167918357844795
pessimistic,2038,0.17632154820113738
pessimistic,2039,0.18514526201346898
pessimistic,2040,0.19441054366725982
pessimistic,2041,0.2041394906786758
pessimistic,2042,0.21435530639672395
pessimistic,2043,0.22508235534278773
pessimistic,2044,0.2363462213195355
pessimistic,2045,0.2481737684277914
pessimistic,2046,0.26059320513689216
pessimistic,2047,0.27363415156133675
pessimistic,2048,0.2873277101041821
pessimistic,2049,0.3017065396356683
pessimistic,2050,0.31680493338398746
pessimistic,2051,0.33265890072396487
