scenario,year,price_chf_kwh
neutral,2025,0.09326666666666666
neutral,2026,0.09638716995591255
neutral,2027,0.09961207861447433
neutral,2028,0.1029448858228205
neutral,2029,0.10638920163577069
neutral,2030,0.10994875689286147
neutral,2031,0.11362740725954487
neutral,2032,0.11742913740359662
neutral,2033,0.12135806531125813
neutral,2034,0.12541844674778743
neutral,2035,0.12961467986725042
neutral,2036,0.13395130997654608
neutral,2037,0.13843303445882565
neutral,2038,0.14306470786163897
neutral,2039,0.14785134715531925
neutral,2040,0.1527981371673022
neutral,2041,0.15791043619826586
neutral,2042,0.16319378182617447
neutral,2043,0.16865389690451316
neutral,2044,0.17429669576121085
neutral,2045,0.18012829060496585
neutral,2046,0.18615499814591335
neutral,2047,0.19238334643780633
neutral,2048,0.19882008194912126
neutral,2049,0.2054721768707478
neutral,2050,0.2123468366681783
optimistic,2025,0.09326666666666666
optimistic,2026,0.09498816995591257
optimistic,2027,0.09674144851579697
optimistic,2028,0.09852708884988944
optimistic,2029,0.10034568828736164
optimistic,2030,0.10219785518280484
optimistic,2031,0.1040842091197356
optimistic,2032,0.10600538111785764
optimistic,2033,0.10796201384414952
optimistic,2034,0.1099547618278484
optimistic,2035,0.11198429167940191
optimistic,2036,0.11405128231346155
optimistic,2037,0.11615642517599196
optimistic,2038,0.1183004244755722
optimistic,2039,0.12048399741896623
optimistic,2040,0.12270787445104177
optimistic,2041,0.12497279949911727
optimistic,2042,0.12727953022181918
optimistic,2043,0.12962883826253255
optimistic,2044,0.13202150950752978
optimistic,2045,0.1344583443488638
optimistic,2046,0.13694015795211392
optimistic,2047,0.13946778052907335
optimistic,2048,0.14204205761547034
optimistic,2049,0.1446638503538151
optimistic,2050,0.14733403578146773
pessimistic,2025,0.09326666666666666
pessimistic,2026,0.09778616995591255
pessimistic,2027,0.10252467871315168
pessimistic,2028,0.10749280547519206
pessimistic,2029,0.11270167703968884
pessimistic,2030,0.11816295938512558
pessimistic,2031,0.12388888379836471
pessimistic,2032,0.12989227426828298
pessimistic,2033,0.1361865762068441
pessimistic,2034,0.14278588656193308
pessimistic,2035,0.14970498538939425
pessimistic,2036,0.1569593689549826
pessimistic,2037,0.16456528444036506
pessimistic,2038,0.17253976633090023
pessimistic,2039,0.18090067456669243
pessimistic,2040,0.18966673454236396
pessimistic,2041,0.19885757904513102
pessimistic,2042,0.20849379222510897
pessimistic,2043,0.21859695569632479
pessimistic,2044,0.22918969687168586
pessimistic,2045,0.24029573964015818
pessimistic,2046,0.2519399574996521
pessimistic,2047,0.26414842926461435
pessimistic,2048,0.2769484974730907
pessimistic,2049,0.29036882962407
pessimistic,2050,0.3044394823822594
