Canton,Consumption profiles of typical households,Period,Product,Total excl. VAT (Rp./kWH),Grid usage (Rp./kWH),Energy supply costs (Rp./kWH),Community fees (Rp./kWH),Feed-in remuneration at cost (KEV) (Rp./kWH),Metering rate (Rp./kWH),Tariff for metering in CHF per year
Lucerne,H3,2020,Cheapest product,12.711,7.34,2.337,0.734,2.3,-,-
Zurich,C1,2020,Cheapest product,19.812,9.394,7.773,0.35,2.3,-,-
Appenzell Ausserrhoden,C6,2020,Cheapest product,13.85,5.203,6.347,0,2.3,-,-
Zug,C6,2024,Cheapest product,28.932,9.964,15.708,0.96,2.3,-,-
Obwalden,C1,2026,Cheapest product,25.335,11.501,9.248,1.4,2.3,0.885,70.8
Uri,H3,2018,Cheapest product,20.581,10.098,7.184,1,2.3,-,-
Schwyz,H7,2025,Cheapest product,26.143,11.317,11.719,1,2.3,-,-
Uri,H3,2024,Cheapest product,28.76,11.904,13.555,1,2.3,-,-
Grisons,C1,2026,Cheapest product,27.81,11.78,11.1,2,2.3,0.63,50.4
Uri,H3,2022,Cheapest product,19.456,10.088,6.069,1,2.3,-,-
Jura,H2,2022,Cheapest product,26.92,13.34,9.78,1.5,2.3,-,-
Lucerne,H2,2026,Cheapest product,26.098,8.89,11.3,1.136,2.3,2.472,61.8
Thurgau,C1,2018,Cheapest product,17.973,9.513,6.055,0.31,2.3,-,-
Ticino,H3,2024,Cheapest product,29.257,11.502,13.325,2.13,2.3,-,-
Solothurn,C6,2018,Cheapest product,15.147,4.923,7.161,0.02,2.3,-,-
Thurgau,C1,2022,Cheapest product,19.087,8.976,7.811,0.2,2.3,-,-
Vaud,C1,2026,Cheapest product,31.761,12,12.67,3.624,2.3,1.167,93.36
Solothurn,C1,2018,Cheapest product,21.441,9.325,9.006,1,2.3,-,-
Aargau,H3,2025,Cheapest product,29.743,12.665,15.9,0.75,2.3,-,-
St Gallen,C1,2024,Cheapest product,32.754,11.675,16.9,0.6,2.3,-,-
Solothurn,C6,2019,Cheapest product,15.696,4.979,8.417,0.02,2.3,-,-
Grisons,H6,2026,Cheapest product,26.668,11.066,11.1,2,2.3,0.202,50.4
Jura,H7,2021,Cheapest product,20.61,9.16,8.304,0.846,2.3,-,-
Uri,C4,2023,Cheapest product,24.607,8.29,13.317,0.7,2.3,-,-
Solothurn,C4,2023,Cheapest product,21.612,8.649,10.835,0.8,2.3,-,-
Neuchâtel,H7,2024,Cheapest product,29.685,9.146,16.639,1.6,2.3,-,-
Uri,H7,2019,Cheapest product,18.315,8.517,6.498,1,2.3,-,-
Solothurn,H3,2021,Cheapest product,20.515,9.018,7.902,1.016,2.3,-,-
Neuchâtel,H3,2024,Cheapest product,30.728,10.635,16.194,1.6,2.3,-,-
Vaud,C1,2020,Cheapest product,20.995,9.195,8.6,0.9,2.3,-,-
Aargau,H3,2021,Cheapest product,18.25,8.447,7.006,0.497,2.3,-,-
Neuchâtel,H3,2018,Cheapest product,19.414,9.123,6.291,1.7,2.3,-,-
Basel Landschaft,H3,2024,Cheapest product,29.984,15.222,12.122,0.34,2.3,-,-
Fribourg,H7,2025,Cheapest product,23.866,8.55,13.016,0,2.3,-,-
Schwyz,H6,2018,Cheapest product,15.194,6.063,5.481,1.24,2.3,-,-
Neuchâtel,H3,2022,Cheapest product,20.188,10.015,7.515,1.6,2.3,-,-
Aargau,H3,2026,Cheapest product,26.93,11.265,10.6,0.75,2.3,1.333,60
Lucerne,H7,2025,Cheapest product,18.985,8.077,7.8,0.808,2.3,-,-
Thurgau,C6,2022,Cheapest product,14.382,5.18,6.92,0.13,2.3,-,-
Neuchâtel,H3,2021,Cheapest product,19.173,9.099,6.273,1.5,2.3,-,-
Appenzell Ausserrhoden,C1,2019,Cheapest product,17.95,8.251,7.399,0,2.3,-,-
Zug,C6,2025,Cheapest product,20.804,6.054,12.45,0,2.3,-,-
Neuchâtel,H3,2020,Cheapest product,19.723,7.885,7.938,1.6,2.3,-,-
Neuchâtel,H3,2025,Cheapest product,30.077,15.79,10.387,1.6,2.3,-,-
Bern,C4,2020,Cheapest product,19.027,8.825,7.842,0.06,2.3,-,-
St Gallen,H6,2026,Cheapest product,25.256,9.841,10.943,1.76,2.3,0.412,103
Schwyz,C1,2022,Cheapest product,19.828,9.19,7.087,1.24,2.3,-,-
Zug,H7,2022,Cheapest product,16.375,7.307,6.768,0,2.3,-,-
Aargau,H3,2019,Cheapest product,19.163,8.66,7.698,0.505,2.3,-,-
Thurgau,H3,2022,Cheapest product,18.84,9.71,7.245,0.2,2.3,-,-
Zug,H6,2025,Cheapest product,25.995,10.345,13.35,0,2.3,-,-
Thurgau,H3,2023,Cheapest product,23.226,10.536,10.2,0.2,2.3,-,-
Grisons,H7,2021,Cheapest product,19.081,7.162,7.8,0.95,2.3,-,-
Vaud,C6,2018,Cheapest product,14.837,4.498,6.99,0.9,2.3,-,-
Basel Landschaft,C1,2024,Cheapest product,32.182,16.293,13.249,0.34,2.3,-,-
Appenzell Innerrhoden,C4,2022,Cheapest product,15.532,6.27,6.963,0,2.3,-,-
Appenzell Innerrhoden,C4,2018,Cheapest product,13.786,6.708,4.778,0,2.3,-,-
Vaud,H7,2026,Cheapest product,29.633,10.551,11.722,3.624,2.3,1.436,186.72
Fribourg,H7,2023,Cheapest product,21.035,6.896,11.839,0,2.3,-,-
Aargau,H3,2022,Cheapest product,19.233,8.86,7.553,0.52,2.3,-,-
Grisons,C1,2021,Cheapest product,19.56,7.909,7.8,1.1,2.3,-,-
Bern,H6,2023,Cheapest product,16.772,5.961,7.786,0.654,2.3,-,-
Aargau,H3,2020,Cheapest product,20.507,8.58,9.122,0.505,2.3,-,-
St Gallen,H7,2018,Cheapest product,15.059,6.414,6.023,0.6,2.3,-,-
Neuchâtel,H3,2019,Cheapest product,19.349,8.759,6.683,1.5,2.3,-,-
Uri,C4,2021,Cheapest product,15.33,7.846,4.484,0.7,2.3,-,-
Neuchâtel,C7,2024,Cheapest product,26.071,5.463,16.708,1.6,2.3,-,-
Schaffhausen,H3,2021,Cheapest product,18.092,9.626,6.166,0,2.3,-,-
Jura,H7,2026,Cheapest product,23.092,9.381,9.104,1.7,2.3,0.608,79
Aargau,C6,2026,Cheapest product,18.784,5.591,10.6,0.7,2.3,0.02,300
Zurich,H3,2024,Cheapest product,21.209,10.466,5.893,2.55,2.3,-,-
Valais,C6,2022,Cheapest product,14.222,3.68,7.802,0.44,2.3,-,-
Solothurn,C7,2026,Cheapest product,18.328,5.924,9.496,0.6,2.3,0.008,564
Schwyz,H6,2020,Cheapest product,15.38,6.049,6.824,1.24,2.3,-,-
Zug,H3,2024,Cheapest product,33.728,10.534,20.894,0,2.3,-,-
Zug,H3,2019,Cheapest product,15.557,7.53,5.727,0,2.3,-,-
Vaud,H7,2020,Cheapest product,18.097,7.165,7.732,0.9,2.3,-,-
Aargau,H7,2020,Cheapest product,18.868,6.893,9.271,0.404,2.3,-,-
St Gallen,H7,2022,Cheapest product,17.993,7.205,7.488,0.6,2.3,-,-
Fribourg,C7,2025,Cheapest product,19.985,5.447,12.238,0,2.3,-,-
Appenzell Innerrhoden,H3,2021,Cheapest product,18.243,8.653,7.29,0,2.3,-,-
Schwyz,H6,2022,Cheapest product,16.69,6.584,5.891,1.24,2.3,-,-
Uri,H7,2022,Cheapest product,17.6,8.487,5.813,1,2.3,-,-
Appenzell Ausserrhoden,C7,2019,Cheapest product,12.406,4.824,5.282,0,2.3,-,-
Appenzell Innerrhoden,H3,2025,Cheapest product,27.662,10.841,14.522,0,2.3,-,-
Appenzell Ausserrhoden,C7,2023,Cheapest product,19.836,4.909,12.626,0,2.3,-,-
Schaffhausen,C4,2024,Cheapest product,26.333,12.323,11.71,0,2.3,-,-
Obwalden,H3,2023,Cheapest product,28.612,10.603,14.31,1.4,2.3,-,-
Bern,H7,2020,Cheapest product,20.61,9.16,8.304,0.846,2.3,-,-
Neuchâtel,C7,2018,Cheapest product,14.233,3.895,6.548,1.49,2.3,-,-
Schaffhausen,H3,2019,Cheapest product,19.165,10.827,6.037,0,2.3,-,-
Appenzell Innerrhoden,H3,2020,Cheapest product,17.057,7.968,6.79,0,2.3,-,-
Ticino,C7,2021,Cheapest product,14.989,4.897,6.663,1.13,2.3,-,-
St Gallen,C7,2022,Cheapest product,13.279,4.295,6.588,0.2,2.3,-,-
Fribourg,H3,2023,Cheapest product,22.078,8.385,11.394,0,2.3,-,-
Jura,H7,2024,Cheapest product,24.784,11.534,10.104,0.846,2.3,-,-
Jura,H2,2024,Cheapest product,31.99,16.61,11.58,1.5,2.3,-,-
Thurgau,C6,2018,Cheapest product,13.283,5.536,5.1585,0.31,2.3,-,-
Aargau,C7,2020,Cheapest product,13.911,2.729,8.74,0.141,2.3,-,-
Zurich,H3,2018,Cheapest product,16.891,9.201,5.542,0.32,2.3,-,-
Neuchâtel,H7,2019,Cheapest product,18.586,7.1475,7.048,1.5,2.3,-,-
Fribourg,H7,2019,Cheapest product,16.83,6.184,8.346,0,2.3,-,-
St Gallen,C7,2024,Cheapest product,23.824,6.512,15.012,0.2,2.3,-,-
Lucerne,H7,2019,Cheapest product,17.038,6.757,7.305,0.676,2.3,-,-
Glarus,H2,2020,Cheapest product,23.433,13.838,6.995,0.3,2.3,-,-
Appenzell Ausserrhoden,H3,2021,Cheapest product,18.243,8.653,7.29,0,2.3,-,-
Zurich,H3,2026,Cheapest product,21.522,8.989,6.393,2,2.3,1.84,82.8
Zurich,H3,2019,Cheapest product,17.221,8.55,6.316,0.35,2.3,-,-
Jura,H7,2020,Cheapest product,20.61,9.16,8.304,0.846,2.3,-,-
Lucerne,H7,2023,Cheapest product,26.259,7.871,15.301,0.787,2.3,-,-
Ticino,C7,2023,Cheapest product,22.581,6.009,13.263,1.01,2.3,-,-
Appenzell Ausserrhoden,H3,2018,Cheapest product,15.868,8.188,5.38,0,2.3,-,-
Valais,C6,2026,Cheapest product,22.593,7.157,13.1,0,2.3,0.036,540
Appenzell Innerrhoden,C7,2025,Cheapest product,21.256,5.253,13.703,0,2.3,-,-
Bern,H7,2025,Cheapest product,23.768,10.364,9.604,1.07,2.3,-,-
Neuchâtel,H7,2018,Cheapest product,18.397,7.762,6.635,1.7,2.3,-,-
Bern,H7,2024,Cheapest product,25.438,11.534,10.104,0.9,2.3,-,-
Neuchâtel,C7,2022,Cheapest product,14.993,4.519,7.6155,1.2,2.3,-,-
Zug,H3,2021,Cheapest product,17.031,8.025,6.707,0,2.3,-,-
Schaffhausen,H3,2018,Cheapest product,19.133,11.159,5.674,0,2.3,-,-
Schaffhausen,C4,2018,Cheapest product,15.835,8.15,5.385,0,2.3,-,-
Thurgau,C4,2023,Cheapest product,19.295,8.842,7.77,0.2,2.3,-,-
Appenzell Innerrhoden,C7,2019,Cheapest product,12.406,4.824,5.282,0,2.3,-,-
Appenzell Ausserrhoden,H3,2022,Cheapest product,18.636,9.056,7.28,0,2.3,-,-
Valais,H5,2025,Cheapest product,26.87,8.05,15.58,0.94,2.3,-,-
Grisons,H7,2018,Cheapest product,18.433,8.1645,6.521,0.95,2.3,-,-
Zurich,H3,2022,Cheapest product,18.054,8.742,7.22,0.32,2.3,-,-
Obwalden,H3,2024,Cheapest product,28.612,12.603,12.309,1.4,2.3,-,-
Ticino,C7,2025,Cheapest product,20.6,7.077,10.113,1.11,2.3,-,-
Zug,C6,2021,Cheapest product,15.664,6.69,6.439,0.235,2.3,-,-
Lucerne,H6,2025,Cheapest product,19.29,8.354,7.8,0.835,2.3,-,-
Obwalden,H3,2020,Cheapest product,19.925,9.715,6.51,1.4,2.3,-,-
Thurgau,C6,2021,Cheapest product,14.035,5.026,6.35,0.2,2.3,-,-
Aargau,C7,2021,Cheapest product,11.248,2.087,6.756,0.106,2.3,-,-
Zug,H3,2026,Cheapest product,23.809,8.685,10.191,1.06,2.3,1.573,70.8
Fribourg,H7,2020,Cheapest product,17.042,6.396,8.346,0,2.3,-,-
Appenzell Innerrhoden,H3,2023,Cheapest product,24.765,9.065,13.4,0,2.3,-,-
Appenzell Innerrhoden,H3,2022,Cheapest product,18.636,9.056,7.28,0,2.3,-,-
Zug,H3,2022,Cheapest product,17.232,8.43,6.501,0,2.3,-,-
Appenzell Ausserrhoden,H3,2019,Cheapest product,16.539,8.069,6.17,0,2.3,-,-
Obwalden,H3,2018,Cheapest product,20.037,10.125,6.212,1.4,2.3,-,-
Solothurn,C6,2021,Cheapest product,15.816,5.1,8.417,0.02,2.3,-,-
Neuchâtel,C7,2026,Cheapest product,19.142,6.688,9.496,0.65,2.3,0.008,564
Zurich,C6,2023,Cheapest product,19.507,7.279,7.778,2.15,2.3,-,-
Fribourg,H7,2024,Cheapest product,28.085,9.146,16.639,0,2.3,-,-
Schaffhausen,H3,2023,Cheapest product,23.384,11.637,9.448,0,2.3,-,-
St Gallen,C7,2018,Cheapest product,11.724,3.77,4.52,0.2,2.3,-,-
Uri,C7,2022,Cheapest product,11.063,3.725,4.737,0.3,2.3,-,-
Bern,H7,2021,Cheapest product,20.61,9.16,8.304,0.846,2.3,-,-
Schwyz,H3,2026,Cheapest product,22.417,8.73,8.927,0.06,2.3,2.4,108
Schwyz,H6,2024,Cheapest product,26.006,9.428,13.039,1.24,2.3,-,-
Neuchâtel,H7,2023,Cheapest product,22.635,6.896,11.839,1.6,2.3,-,-
Ticino,H3,2018,Cheapest product,17.35,7.079,5.82,2.15,2.3,-,-
Zug,C7,2022,Cheapest product,15.928,6.379,6.78,0.47,2.3,-,-
St Gallen,H6,2021,Cheapest product,15.673,5.7745,6.922,0.6,2.3,-,-
St Gallen,C6,2025,Cheapest product,22.212,5.943,13.969,0,2.3,-,-
St Gallen,H7,2020,Cheapest product,16.3625,6.233,6.998,0.6,2.3,-,-
Thurgau,C7,2019,Cheapest product,13.092,4.494,5.634,0.39,2.3,-,-
Appenzell Innerrhoden,C6,2018,Cheapest product,11.124,4.121,4.703,0,2.3,-,-
Bern,H2,2022,Cheapest product,26.22,13.34,9.78,1.5,2.3,-,-
Appenzell Innerrhoden,C4,2024,Cheapest product,27.476,9.179,15.997,0,2.3,-,-
St Gallen,C7,2020,Cheapest product,13.469,4.318,6.334,0.2,2.3,-,-
Basel Landschaft,H3,2021,Cheapest product,19.378,8.715,7.902,0.461,2.3,-,-
Aargau,H7,2023,Cheapest product,22.489,7.964,11.774,0.45,2.3,-,-
Thurgau,C7,2020,Cheapest product,13.237,4.469,6.144,0.39,2.3,-,-
Zurich,H3,2020,Cheapest product,17.457,8.263,7.097,0.35,2.3,-,-
Lucerne,H3,2026,Cheapest product,24.714,8.73,11.3,1.01,2.3,1.373,61.8
Appenzell Innerrhoden,C6,2019,Cheapest product,13.194,5.433,5.461,0,2.3,-,-
Schaffhausen,C7,2022,Cheapest product,12.619,4.168,6.151,0,2.3,-,-
Aargau,H6,2019,Cheapest product,15.68,5.656,7.4,0.325,2.3,-,-
Ticino,C7,2026,Cheapest product,18.021,6.553,8.063,1.1,2.3,0.005,360
Schwyz,H6,2023,Cheapest product,21.516,6.854,11.027,0.85,2.3,-,-
Basel Landschaft,H2,2018,Cheapest product,22.507,11.127,8.279,0.8,2.3,-,-
Zug,H6,2020,Cheapest product,13.556,5.441,5.814,0,2.3,-,-
Lucerne,H3,2021,Cheapest product,15.986,7.34,5.613,0.734,2.3,-,-
Appenzell Innerrhoden,C6,2024,Cheapest product,24.873,7.199,15.374,0,2.3,-,-
Uri,H5,2019,Cheapest product,19.609,9.429,6.879,1,2.3,-,-
Zug,C7,2023,Cheapest product,25.248,6.893,15.095,0.96,2.3,-,-
Lucerne,C4,2022,Cheapest product,17.49,7.353,7.097,0.74,2.3,-,-
Zug,H6,2021,Cheapest product,13.556,5.441,5.814,0,2.3,-,-
Thurgau,C7,2024,Cheapest product,23.932,6.844,14.2,0.15,2.3,-,-
Appenzell Ausserrhoden,H3,2024,Cheapest product,29.626,11.283,16.043,0,2.3,-,-
Appenzell Innerrhoden,C6,2023,Cheapest product,20.66,5.593,12.767,0,2.3,-,-
Ticino,H3,2021,Cheapest product,18.559,7.829,6.18,2.25,2.3,-,-
Geneva,H6,2018,Cheapest product,14.799,5.826,6.672,0,2.3,-,-
Zurich,H3,2025,Cheapest product,20.844,9.801,6.193,2.55,2.3,-,-
St Gallen,C7,2021,Cheapest product,13.115,3.905,6.558,0.2,2.3,-,-
Thurgau,C6,2020,Cheapest product,14.303,5.245,6.486,0.39,2.3,-,-
Zug,H3,2023,Cheapest product,23.436,9.203,11.933,0,2.3,-,-
Uri,C4,2024,Cheapest product,26.097,9.78,13.317,0.7,2.3,-,-
Zurich,H3,2023,Cheapest product,18.936,8.793,5.693,2.15,2.3,-,-
Solothurn,C4,2018,Cheapest product,17.283,7.514,6.805,0.47,2.3,-,-
Bern,H7,2023,Cheapest product,20.774,9.1,8.304,0.846,2.3,-,-
Neuchâtel,H7,2021,Cheapest product,18.154,7.738,6.616,1.5,2.3,-,-
Zug,C4,2025,Cheapest product,25.344,10.594,12.45,0,2.3,-,-
Zurich,H7,2020,Cheapest product,16.643,7.162,6.853,0.32,2.3,-,-
Lucerne,H7,2018,Cheapest product,16.938,7.047,6.886,0.705,2.3,-,-
Schaffhausen,H3,2020,Cheapest product,19.595,10.752,6.544,0,2.3,-,-
Aargau,H7,2018,Cheapest product,15.831,7.164,5.957,0.411,2.3,-,-
Aargau,C7,2026,Cheapest product,18.508,5.003,10.6,0.63,2.3,0.004,300
Bern,H2,2018,Cheapest product,26.747,15.008,9.4325,1.5,2.3,-,-
Schaffhausen,C6,2018,Cheapest product,12.658,5.255,5.103,0,2.3,-,-
Zurich,C6,2019,Cheapest product,13.815,5.746,6.012,0.21,2.3,-,-
St Gallen,C7,2026,Cheapest product,19.352,5.331,9.952,1.76,2.3,0.01,720
Appenzell Ausserrhoden,C7,2018,Cheapest product,11.724,4.904,4.52,0,2.3,-,-
Uri,H5,2023,Cheapest product,26.611,9.722,13.589,1,2.3,-,-
Thurgau,H5,2024,Standard product,30.133,11.583,15.313,0.3,2.3,-,-
Ticino,H5,2019,Standard product,17.892,6.88,6.739,2.17,2.3,-,-
Vaud,H5,2013,Standard product,18.878,7.986,9.342,0.9,0.45,-,-
Valais,H5,2024,Standard product,29.615,10.217,16.155,0.95,2.3,-,-
Valais,H5,2014,Standard product,16.005,6.885,8.173,0.685,0.6,-,-
Uri,H5,2012,Standard product,18.81,10,7.5,0.86,0.45,-,-
Basel Stadt,H5,2017,Standard product,24.02,7.979,7.628,6.913,1.5,-,-
Grisons,H5,2018,Standard product,19.868,9.064,6.844,1,2.3,-,-
Geneva,H5,2022,Standard product,17.964,7.278,7.425,0.96,2.3,-,-
Neuchâtel,H5,2023,Standard product,28.586,10.873,13.813,1.6,2.3,-,-
Geneva,H5,2026,Standard product,22.142,8.845,8.818,1.107,2.3,1.072,80.4
Valais,H5,2023,Standard product,27.614,8.262,15.87,0.94,2.3,-,-
Uri,H5,2025,Standard product,27.153,10.484,13.368,1,2.3,-,-
Basel Stadt,H5,2022,Standard product,26.71,9.652,7.628,7.13,2.3,-,-
Solothurn,H5,2012,Standard product,17.598,7.762,8.563,1,0.45,-,-
Ticino,H5,2013,Standard product,18.792,6.617,8.374,2,0.45,-,-
Vaud,H5,2026,Standard product,27.703,9.123,13.599,1.624,2.3,1.058,79.32
Uri,H5,2019,Standard product,20.433,9.753,7.379,1,2.3,-,-
Uri,H5,2024,Standard product,28.921,11.532,14.089,1,2.3,-,-
Geneva,H5,2013,Standard product,15.921,6.103,8.416,0.952,0.45,-,-
Neuchâtel,H5,2018,Standard product,18.576,8.177,6.399,1.7,2.3,-,-
Solothurn,H5,2016,Standard product,17.561,8.098,6.778,1,1.3,-,-
Ticino,H5,2018,Standard product,17.47,6.64,6.489,2.15,2.3,-,-
Lucerne,H5,2022,Standard product,18.731,7.374,8.317,0.74,2.3,-,-
Ticino,H5,2020,Standard product,18.437,7.143,6.991,2.21,2.3,-,-
Neuchâtel,H5,2011,Standard product,19.883,9.768,8.978,1.56,0.45,-,-
Solothurn,H5,2014,Standard product,17.01,8.087,7.665,1,0.6,-,-
Solothurn,H5,2017,Standard product,17.17,8.133,6.773,1,1.5,-,-
Uri,H5,2015,Standard product,20.499,10.273,8.065,1.06,1.1,-,-
Valais,H5,2025,Standard product,26.562,9.378,13.364,0.94,2.3,-,-
Lucerne,H5,2021,Standard product,15.693,6.498,6.246,0.65,2.3,-,-
Lucerne,H5,2017,Standard product,17.139,7.799,7.06,0.78,1.5,-,-
Solothurn,H5,2011,Standard product,18.538,8.429,8.456,1,0.45,-,-
Valais,H5,2026,Standard product,24.926,8.59,12.647,0.91,2.3,1.056,79.2
Ticino,H5,2022,Standard product,19.169,7.55,7.548,2.19,2.3,-,-
Aargau,H5,2021,Standard product,17.312,7.524,6.9,0.5,2.3,-,-
Solothurn,H5,2025,Standard product,30.235,11.427,14.906,1,2.3,-,-
Valais,H5,2011,Standard product,18.653,7.38,9.789,0.723,0.45,-,-
Aargau,H5,2015,Standard product,16.014,7.999,6.383,0.452,1.1,-,-
Valais,H5,2020,Standard product,17.03,6.583,7.3075,0.73,2.3,-,-
Vaud,H5,2015,Standard product,19.2,8.185,8.802,0.9,1.1,-,-
Geneva,H5,2019,Standard product,18.523,7.485,7.676,1.062,2.3,-,-
Valais,H5,2018,Standard product,15.74,6.825,5.842,0.68,2.3,-,-
Uri,H5,2013,Standard product,19.693,10.043,8.165,1.034,0.45,-,-
Vaud,H5,2022,Standard product,19.067,7.408,6.989,1.52,2.3,-,-
Ticino,H5,2021,Standard product,18.777,7.5,6.843,2.25,2.3,-,-
Valais,H5,2017,Standard product,13.723,6.425,5.1,0.763,1.5,-,-
Geneva,H5,2020,Standard product,17.882,7.178,7.455,0.948,2.3,-,-
Basel Stadt,H5,2021,Standard product,25.116,8.139,7.628,7.049,2.3,-,-
Ticino,H5,2011,Standard product,16.671,8.183,7.871,2,0.45,-,-
Ticino,H5,2012,Standard product,17.23,7.104,8.207,2,0.45,-,-
Lucerne,H5,2016,Standard product,17.0085,7.799,7.058,0.78,1.3,-,-
Uri,H5,2016,Standard product,19.652,9.863,7.469,1.02,1.3,-,-
Aargau,H5,2023,Standard product,24.691,8.639,12.769,0.5,2.3,-,-
Basel Stadt,H5,2016,Standard product,23.508,7.514,7.828,6.866,1.3,-,-
Uri,H5,2020,Standard product,20.403,9.723,7.379,1,2.3,-,-
Valais,H5,2021,Standard product,16.79,7.01,6.969,0.79,2.3,-,-
Thurgau,H5,2011,Standard product,16.157,8.414,7.38,0.25,0.45,-,-
Basel Stadt,H5,2012,Standard product,20.593,6.805,7.158,6.18,0.45,-,-
Grisons,H5,2013,Standard product,17.916,8.694,8.282,1,0.45,-,-
Basel Landschaft,H5,2022,Standard product,19.522,8.816,7.945,0.46,2.3,-,-
Valais,H5,2012,Standard product,16.61,6.6,9.125,0.66,0.45,-,-
Aargau,H5,2024,Standard product,32.689,11.259,18.572,0.559,2.3,-,-
Solothurn,H5,2018,Standard product,19.734,8.053,6.676,1,2.3,-,-
Aargau,H5,2025,Standard product,27.816,10.453,14.68,0.569,2.3,-,-
Lucerne,H5,2026,Standard product,24.193,8.17,12,0.899,2.3,0.824,61.8
Aargau,H5,2011,Standard product,15.818,7.441,7.527,0.41,0.45,-,-
Basel Stadt,H5,2026,Standard product,30.962,10.436,10.403,7.104,2.3,0.72,54
Basel Stadt,H5,2020,Standard product,25.116,8.139,7.628,7.049,2.3,-,-
Thurgau,H5,2021,Standard product,18.021,8.52,6.934,0.3,2.3,-,-
Grisons,H5,2020,Standard product,20.213,8.668,7.4,1.14,2.3,-,-
Neuchâtel,H5,2016,Standard product,19.532,9.101,7.468,1.56,1.3,-,-
Basel Stadt,H5,2019,Standard product,25.291,8.219,7.628,7.144,2.3,-,-
Aargau,H5,2020,Standard product,17.806,7.604,7.164,0.5,2.3,-,-
Valais,H5,2015,Standard product,15.69,6.87,7.4,0.77,1.1,-,-
Neuchâtel,H5,2017,Standard product,18.516,8.384,6.732,1.56,1.5,-,-
Solothurn,H5,2015,Standard product,17.335,8.157,7.522,1,1.1,-,-
Solothurn,H5,2020,Standard product,20.053,7.983,8.146,1,2.3,-,-
Uri,H5,2014,Standard product,20.209,10.373,8.165,1.07,0.6,-,-
Grisons,H5,2011,Standard product,18.553,9.054,7.927,0.8,0.45,-,-
Lucerne,H5,2014,Standard product,16.223,7.799,6.939,0.783,0.6,-,-
Geneva,H5,2016,Standard product,18.802,7.86,8.416,1.226,1.3,-,-
Basel Stadt,H5,2024,Standard product,32.148,12.284,10.403,7.161,2.3,-,-
Valais,H5,2016,Standard product,15.659,6.725,6.642,0.799,1.3,-,-
Neuchâtel,H5,2015,Standard product,19.576,8.675,7.839,1.56,1.1,-,-
Geneva,H5,2012,Standard product,16.471,6.103,8.967,0.952,0.45,-,-
Lucerne,H5,2025,Standard product,20.335,8.668,8.5,0.867,2.3,-,-
Vaud,H5,2011,Standard product,20.225,9.332,9.342,0.9,0.45,-,-
Geneva,H5,2021,Standard product,17.705,7.041,7.435,0.929,2.3,-,-
Basel Landschaft,H5,2026,Standard product,29.57,12.646,13.444,0.54,2.3,0.64,48
Uri,H5,2021,Standard product,19.933,9.723,6.909,1,2.3,-,-
Solothurn,H5,2019,Standard product,19.618,8.063,7.288,1,2.3,-,-
Geneva,H5,2017,Standard product,17.983,7.554,7.751,1.178,1.5,-,-
Uri,H5,2022,Standard product,19.933,9.723,6.909,1,2.3,-,-
Basel Landschaft,H5,2020,Standard product,19.622,7.947,8.945,0.429,2.3,-,-
Solothurn,H5,2022,Standard product,20.458,9.360666666666667,7.945,0.65,2.3,-,-
Solothurn,H5,2024,Standard product,30.939,12.34,15.842,1,2.3,-,-
Uri,H5,2011,Standard product,19.12,10.31,7.5,0.86,0.45,-,-
Neuchâtel,H5,2025,Standard product,28.253,10.8275,13.5255,1.6,2.3,-,-
Vaud,H5,2016,Standard product,18.825,8.18,8.245,0.95,1.3,-,-
Basel Landschaft,H5,2013,Standard product,16.058,6.341,8.887,0.38,0.45,-,-
Geneva,H5,2025,Standard product,22.85,9.741,9.554,1.255,2.3,-,-
Neuchâtel,H5,2020,Standard product,19.226,7.6205,7.173,1.6,2.3,-,-
Solothurn,H5,2026,Standard product,27.787,10.725,13.444,1,2.3,0.896,67.2
Lucerne,H5,2023,Standard product,26.888,7.974,15.817,0.797,2.3,-,-
Basel Stadt,H5,2025,Standard product,32.028,12.164,10.403,7.161,2.3,-,-
Basel Landschaft,H5,2012,Standard product,16.345,6.728,8.787,0.38,0.45,-,-
Schwyz,H5,2019,Standard product,17.551,8.068,6.315,0.7,2.3,-,-
Solothurn,H5,2021,Standard product,19.874,7.983,7.549,1,2.3,-,-
Ticino,H5,2017,Standard product,16.348,6.72,6.09,2,1.5,-,-
Geneva,H5,2024,Standard product,26.103,10.83,11.702,1.271,2.3,-,-
Basel Landschaft,H5,2018,Standard product,19.734,8.053,8.721,0.66,2.3,-,-
Ticino,H5,2024,Standard product,29.134,10.713,13.8,2.13,2.3,-,-
Neuchâtel,H5,2012,Standard product,20.6225,9.001,9.478,1.9,0.45,-,-
Valais,H5,2013,Standard product,15.853,6.32,8.4,0.683,0.45,-,-
Ticino,H5,2014,Standard product,16.636,7.42,7.657,1.97,0.6,-,-
Geneva,H5,2014,Standard product,16.071,6.103,8.416,0.952,0.6,-,-
Neuchâtel,H5,2024,Standard product,32.9605,11.41,17.65,1.6,2.3,-,-
Uri,H5,2017,Standard product,19.201,9.493,7.227,0.98,1.5,-,-
Basel Landschaft,H5,2017,Standard product,18.977,8.133,8.72,0.624,1.5,-,-
Valais,H5,2019,Standard product,17.245,6.8505,7.18,0.77,2.3,-,-
Valais,H5,2022,Standard product,18.362,7.11,7.842,0.83,2.3,-,-
