Canton,Consumption profiles of typical households,Period,Product,Total excl. VAT (Rp./kWH),Grid usage (Rp./kWH),Energy supply costs (Rp./kWH),Community fees (Rp./kWH),Feed-in remuneration at cost (KEV) (Rp./kWH),Metering rate (Rp./kWH),Tariff for metering in CHF per year
Valais,C3,2024,Cheapest product,24.776,10.132,11.543,0.804,2.3,-,-
Schaffhausen,C3,2019,Cheapest product,17.12,8.852,5.968,0,2.3,-,-
Neuchâtel,C2,2025,Cheapest product,26.314,12.764,9.65,1.6,2.3,-,-
St Gallen,H4,2018,Cheapest product,18.4,8.703,6.138,0.6,2.3,-,-
Bern,H4,2023,Cheapest product,24.9,11.613,9.087,1.5,2.3,-,-
Glarus,H4,2022,Cheapest product,22.166,11.975,7.59,0.3,2.3,-,-
Bern,H5,2018,Cheapest product,21.295,10.332,8.663,1.5,2.3,-,-
Zurich,C3,2025,Cheapest product,26.017,12.78,8.387,2.55,2.3,-,-
Fribourg,H4,2025,Cheapest product,27.542,10.992,14.25,0,2.3,-,-
Schwyz,H4,2020,Cheapest product,21.139,9.353,7.381,1.24,2.3,-,-
St Gallen,C2,2019,Cheapest product,19.3695,7.309,7.366,0.87,2.3,-,-
Schwyz,H4,2026,Cheapest product,22.466,8.73,8.976,0.06,2.3,2.4,108
Lucerne,H4,2026,Cheapest product,24.509,8.73,11.3,0.806,2.3,1.373,61.8
Appenzell Innerrhoden,C2,2019,Cheapest product,16.667,7.001,7.366,0,2.3,-,-
Zurich,C3,2024,Cheapest product,26.207,13.271,8.087,2.55,2.3,-,-
Solothurn,C3,2019,Cheapest product,19.62,8.597,8.513,1,2.3,-,-
Jura,H4,2021,Cheapest product,25.24,12.353,9.087,1.5,2.3,-,-
Vaud,H6,2021,Cheapest product,18.651,7.753,6.18,2.6,2.3,-,-
Zurich,C2,2026,Cheapest product,24.908,11.835,8.497,2,2.3,0.276,82.8
Thurgau,C3,2020,Cheapest product,17.324,8.86,6.45,0.31,2.3,-,-
Obwalden,C3,2024,Cheapest product,27.313,10.51,13.103,1.4,2.3,-,-
Jura,H4,2026,Cheapest product,26.896,11.253,9.887,1.7,2.3,1.756,79
Schwyz,H2,2021,Cheapest product,22.587,10.68,7.439,1.24,2.3,-,-
Neuchâtel,H4,2019,Cheapest product,21.924,9.833,7.827,1.5,2.3,-,-
Obwalden,C3,2019,Cheapest product,18.246,7.87,6.676,1.4,2.3,-,-
Valais,C3,2020,Cheapest product,16.026,5.84,7.186,0.7,2.3,-,-
Aargau,C4,2021,Cheapest product,16.637,7.019,6.906,0.412,2.3,-,-
Lucerne,C2,2021,Cheapest product,17.317,7.656,6.595,0.766,2.3,-,-
Schaffhausen,C3,2024,Cheapest product,27.38,13.37,11.71,0,2.3,-,-
Grisons,C2,2023,Cheapest product,23.46,8.56,10.6,0.95,2.3,-,-
Thurgau,C3,2025,Cheapest product,26.904,10.91,13.72,0.31,2.3,-,-
Glarus,H2,2023,Cheapest product,33.175,15.451,15.124,0.3,2.3,-,-
St Gallen,H4,2020,Cheapest product,19.453,8.473,7.23,0.6,2.3,-,-
Geneva,C3,2019,Cheapest product,16.675,7.071,7.304,0,2.3,-,-
Obwalden,C3,2021,Cheapest product,18.366,7.79,6.876,1.4,2.3,-,-
Neuchâtel,H4,2020,Cheapest product,22.357,9.469,8.988,1.6,2.3,-,-
Uri,H4,2024,Cheapest product,31.112,13.664,14.148,1,2.3,-,-
Neuchâtel,H4,2022,Cheapest product,22.633,11.385,8.2175,1.6,2.3,-,-
Bern,C2,2021,Cheapest product,22.695,10.2,9.195,1,2.3,-,-
Thurgau,C2,2021,Cheapest product,17.028,7.67,6.821,0.26,2.3,-,-
Thurgau,C3,2019,Cheapest product,17.055,8.453,6.047,0.35,2.3,-,-
Glarus,H4,2018,Cheapest product,19.99,10.839,5.752,0.3,2.3,-,-
Neuchâtel,H4,2024,Cheapest product,33.602,12.219,17.484,1.6,2.3,-,-
Neuchâtel,C6,2022,Cheapest product,16.397,5.229,7.976,1.2,2.3,-,-
Basel Landschaft,H4,2025,Cheapest product,31.684,16.195,12.849,0.34,2.3,-,-
Neuchâtel,C2,2020,Cheapest product,21.139,7.833,9.406,1.6,2.3,-,-
Bern,H4,2024,Cheapest product,29.27,14.583,10.887,1.5,2.3,-,-
Fribourg,C6,2025,Cheapest product,21.343,6.193,12.85,0,2.3,-,-
Valais,C3,2018,Cheapest product,13.896,5.738,5.229,0.68,2.3,-,-
Ticino,C3,2018,Cheapest product,20.822,9.672,6.7,2.15,2.3,-,-
Lucerne,H4,2022,Cheapest product,19.99,8.395,8.456,0.84,2.3,-,-
Neuchâtel,C6,2020,Cheapest product,15.56,3.834,8.626,0.8,2.3,-,-
Ticino,C3,2022,Cheapest product,21.911,9.721,7.7,2.19,2.3,-,-
Ticino,C3,2019,Cheapest product,21.012,9.592,6.95,2.17,2.3,-,-
Schwyz,H2,2025,Cheapest product,28.744,14.377,12.108,1,2.3,-,-
Ticino,C3,2020,Cheapest product,21.222,9.512,7.2,2.21,2.3,-,-
Glarus,H4,2024,Cheapest product,33.327,16.327,13.7,1,2.3,-,-
Solothurn,C3,2022,Cheapest product,20.589,8.649,8.341,0.5,2.3,-,-
Vaud,C2,2019,Cheapest product,20.44,8.64,8.6,0.9,2.3,-,-
Aargau,C6,2023,Cheapest product,17.058,3.7,10.88,0.178,2.3,-,-
St Gallen,C4,2018,Cheapest product,13.863,6.624,4.912,0.6,2.3,-,-
Obwalden,C3,2023,Cheapest product,27.313,8.49,15.123,1.4,2.3,-,-
Aargau,H4,2018,Cheapest product,18.581,9.413,6.323,0.546,2.3,-,-
Lucerne,C2,2018,Cheapest product,21.029,10.133,7.582,1.013,2.3,-,-
Obwalden,C3,2025,Cheapest product,24.234,10.638,9.896,1.4,2.3,-,-
Lucerne,H4,2020,Cheapest product,13.32,7.595,2.666,0.759,2.3,-,-
Valais,C3,2026,Cheapest product,22.724,6.98,12.486,0.8,2.3,0.158,236.4
Jura,C2,2022,Cheapest product,20.81,9.16,8.35,1,2.3,-,-
Glarus,H4,2021,Cheapest product,21.366,12.175,6.59,0.3,2.3,-,-
Appenzell Innerrhoden,H4,2022,Cheapest product,19.703,9.683,7.72,0,2.3,-,-
Valais,C3,2023,Cheapest product,27.775,7.34,17.255,0.88,2.3,-,-
Aargau,C2,2023,Cheapest product,24.18,8.912,12.461,0.507,2.3,-,-
Obwalden,H6,2022,Cheapest product,16.873,7.553,5.62,1.4,2.3,-,-
Thurgau,C3,2018,Cheapest product,16.447,8.285,5.656,0.31,2.3,-,-
Obwalden,C3,2018,Cheapest product,18.102,7.926,6.476,1.4,2.3,-,-
Thurgau,C2,2020,Cheapest product,17.513,7.791,6.882,0.31,2.3,-,-
Neuchâtel,H4,2018,Cheapest product,21.692,10.322,7.369,1.7,2.3,-,-
Zurich,C3,2021,Cheapest product,18.424,9.625,6.227,0.28,2.3,-,-
Jura,H4,2023,Cheapest product,24.5,11.613,9.087,1.5,2.3,-,-
Solothurn,C3,2025,Cheapest product,27.35,11.006,13.2,0.9,2.3,-,-
Vaud,C6,2020,Cheapest product,15.472,4.621,7.651,0.9,2.3,-,-
Appenzell Innerrhoden,H6,2023,Cheapest product,21.455,6.085,13.07,0,2.3,-,-
Obwalden,C3,2022,Cheapest product,18.327,7.79,6.837,1.4,2.3,-,-
Fribourg,H4,2021,Cheapest product,20.757,9.469,8.988,0,2.3,-,-
Thurgau,C3,2026,Cheapest product,24.997,10.53,11.5,0.25,2.3,0.12,180
Glarus,H2,2026,Cheapest product,35.504,17.531,12.397,0.3,2.3,2.976,74.4
Solothurn,C3,2018,Cheapest product,18.635,8.352,7.285,0.68,2.3,-,-
Basel Landschaft,H6,2020,Cheapest product,16.645,6.381,7.599,0.365,2.3,-,-
Solothurn,C3,2020,Cheapest product,19.54,8.517,8.513,0.85,2.3,-,-
Bern,H4,2022,Cheapest product,24.2,11.313,9.087,1.5,2.3,-,-
Solothurn,C3,2026,Cheapest product,25.282,10.8,11.5015,1,2.3,0.091,136
Ticino,C3,2024,Cheapest product,32.566,13.686,14.45,2.13,2.3,-,-
Grisons,C2,2022,Cheapest product,19.548,7.64,7.65,0.8,2.3,-,-
Solothurn,C3,2024,Cheapest product,30.2195,12.0865,15.333,1,2.3,-,-
Ticino,C3,2023,Cheapest product,29.101,10.921,13.75,2.13,2.3,-,-
Zug,C4,2023,Cheapest product,21.911,7.985,11.625,0,2.3,-,-
Solothurn,C3,2021,Cheapest product,19.54,8.517,8.513,0.923,2.3,-,-
Aargau,C4,2024,Cheapest product,30.872,9.514,17.2,0.65,2.3,-,-
Bern,H4,2026,Cheapest product,26.696,11.253,9.887,1.5,2.3,1.756,79
St Gallen,C2,2023,Cheapest product,26.556,8.66,14.596,1,2.3,-,-
Fribourg,H4,2018,Cheapest product,20.612,9.325,8.988,0,2.3,-,-
Fribourg,C4,2023,Cheapest product,22.627,6.264,14.063,0,2.3,-,-
Appenzell Ausserrhoden,H6,2021,Cheapest product,15.073,5.813,6.96,0,2.3,-,-
Geneva,C2,2020,Cheapest product,19.38,8.48,8.6,0,2.3,-,-
Thurgau,H6,2019,Cheapest product,14.516,6.731,5.326,0.35,2.3,-,-
Neuchâtel,C6,2025,Cheapest product,21.021,7.712,10.36,0.65,2.3,-,-
Vaud,C3,2021,Cheapest product,20.995,8.629,7.524,2.6,2.3,-,-
Glarus,H5,2021,Cheapest product,19.894,10.818,6.476,0.3,2.3,-,-
Schaffhausen,H5,2021,Cheapest product,17.136,8.649,6.187,0,2.3,-,-
Basel Landschaft,C2,2020,Cheapest product,19.757,8.356,8.655,0.446,2.3,-,-
Ticino,C3,2025,Cheapest product,28.507,13.377,10.6,2.23,2.3,-,-
Basel Landschaft,H2,2026,Cheapest product,33.184,15.245,12.588,0.34,2.3,2.712,67.8
Appenzell Innerrhoden,C2,2018,Cheapest product,16.586,7.426,6.86,0,2.3,-,-
St Gallen,C6,2018,Cheapest product,12.483,4.272,4.671,0.2,2.3,-,-
Fribourg,H4,2019,Cheapest product,20.143,8.855,8.988,0,2.3,-,-
Lucerne,H4,2019,Cheapest product,19.53,8.387,8.004,0.839,2.3,-,-
Neuchâtel,H4,2026,Cheapest product,29.527,14.14,9.887,1.6,2.3,1.6,72
Neuchâtel,C6,2023,Cheapest product,19.339,4.143,12.096,0.8,2.3,-,-
Appenzell Ausserrhoden,C4,2023,Cheapest product,21.563,7.056,12.207,0,2.3,-,-
Appenzell Ausserrhoden,C4,2018,Cheapest product,12.646,5.434,4.912,0,2.3,-,-
Ticino,C3,2021,Cheapest product,21.512,9.812,7.15,2.25,2.3,-,-
Zurich,C3,2019,Cheapest product,18.139,9.379,5.876,0.28,2.3,-,-
Jura,H6,2022,Cheapest product,16.396,5.661,7.786,0.65,2.3,-,-
Zurich,C3,2018,Cheapest product,17.197,9.572,5.341,0.28,2.3,-,-
Fribourg,C6,2023,Cheapest product,18.539,4.143,12.096,0,2.3,-,-
Zurich,C3,2020,Cheapest product,18.603,9.379,7.019,0.28,2.3,-,-
Appenzell Innerrhoden,C2,2023,Cheapest product,25.556,8.66,14.596,0,2.3,-,-
Solothurn,C3,2023,Cheapest product,22.776,9.588,11.053,1,2.3,-,-
Lucerne,H4,2021,Cheapest product,17.058,7.595,6.403,0.759,2.3,-,-
Ticino,C3,2026,Cheapest product,24.727,11.617,8.55,2.22,2.3,0.04,60
Obwalden,C6,2026,Cheapest product,19.427,6.458,9.72,0.9,2.3,0.05,744
Schwyz,C2,2024,Cheapest product,28.189,11.7,12.949,1.24,2.3,-,-
Appenzell Innerrhoden,C6,2022,Cheapest product,13.735,4.736,6.699,0,2.3,-,-
Neuchâtel,H2,2021,Cheapest product,23.156,11.96,7.396,1.5,2.3,-,-
Geneva,C2,2018,Cheapest product,19.56,8.66,8.6,0,2.3,-,-
Jura,C3,2024,Cheapest product,25.638,12.176,10.962,0.2,2.3,-,-
Solothurn,H5,2023,Cheapest product,23.093,10.083,11.663,1.1,2.3,-,-
Bern,C3,2018,Cheapest product,21.278,10.266,8.513,0.2,2.3,-,-
Aargau,H2,2025,Cheapest product,32.09,15.56,15.9,0.75,2.3,-,-
Jura,C3,2023,Cheapest product,21.542,9.879,9.162,0.2,2.3,-,-
Vaud,H4,2021,Cheapest product,23.167,10.68,7.98,2.6,2.3,-,-
Ticino,H4,2020,Cheapest product,20.353,8.443,7.4,2.21,2.3,-,-
Fribourg,C3,2022,Cheapest product,19.361,6.541,10.52,0,2.3,-,-
Neuchâtel,H2,2022,Cheapest product,24.541,12.97,8.588,1.6,2.3,-,-
Thurgau,C2,2022,Cheapest product,18.208,7.806,7.773,0.2,2.3,-,-
Vaud,C2,2022,Cheapest product,22.788,9.355,8.85,2.57,2.3,-,-
Fribourg,C3,2023,Cheapest product,23.331,7.041,13.99,0,2.3,-,-
Fribourg,C3,2025,Cheapest product,24.139,8.734,13.105,0,2.3,-,-
Zurich,C2,2019,Cheapest product,18.442,9.335,6.498,0.32,2.3,-,-
Vaud,H4,2018,Cheapest product,21.33,9.596,8.334,0.9,2.3,-,-
Zurich,H4,2026,Cheapest product,24.558,10.735,7.684,2,2.3,1.84,82.8
Zurich,H4,2018,Cheapest product,18.148,10.215,5.894,0.32,2.3,-,-
Fribourg,C3,2021,Cheapest product,19.361,6.541,10.52,0,2.3,-,-
Appenzell Ausserrhoden,H4,2024,Cheapest product,31.205,12.163,16.742,0,2.3,-,-
Zurich,H4,2025,Cheapest product,24.041,11.708,7.484,2.55,2.3,-,-
Fribourg,C3,2024,Cheapest product,30.381,9.291,18.79,0,2.3,-,-
Appenzell Innerrhoden,C3,2022,Cheapest product,16.692,7.351,7.04,0,2.3,-,-
Zurich,H4,2023,Cheapest product,22.09,10.656,6.984,2.15,2.3,-,-
Appenzell Innerrhoden,C2,2025,Cheapest product,29.14,11.046,15.795,0,2.3,-,-
Schwyz,H5,2023,Cheapest product,21.991,8.781,10.324,0.85,2.3,-,-
St Gallen,C2,2026,Cheapest product,28.998,11.073,13.521,1.76,2.3,0.343,103
Basel Landschaft,H5,2021,Cheapest product,18.622,7.947,7.945,0.429,2.3,-,-
Basel Landschaft,C3,2024,Cheapest product,27.903,13.056,12.207,0.34,2.3,-,-
Bern,H5,2025,Cheapest product,26.24,12.4,10.04,1.2,2.3,-,-
Solothurn,H4,2026,Cheapest product,27.678,11.253,11.7085,1.1,2.3,1.733,78
Aargau,C2,2018,Cheapest product,17.486,7.954,6.773,0.458,2.3,-,-
Geneva,H4,2020,Cheapest product,20.28,9.646,8.334,0,2.3,-,-
Uri,H6,2025,Cheapest product,25.161,8.371,13.49,1,2.3,-,-
Basel Landschaft,C3,2025,Cheapest product,27.651,12.804,12.207,0.34,2.3,-,-
Appenzell Ausserrhoden,C3,2020,Cheapest product,14.907,5.871,6.737,0,2.3,-,-
