OBJECTID;EGID;NO_AUTOR;CATEGORIE_BATPRO;NOMBAT;DESTINATION;NOMENCLATURE;NOMEN_CLASSE;NIVEAUX_HORSOL;NIVEAUX_SSOL;HAUTEUR;DATEDT;TYPE;GENRE;COMMUNE;SHAPE.AREA;SHAPE.LEN
1768;295518943;DD 110587;Bâtiment;;Garage privé;5.2;Autre bâtiment;1;0;2.87;20210907133337;Nouveau;Hors-sol;Collonge-Bellerive;43.290742755;26.6245819854411
1769;1007181;DD 110587;Bâtiment;;Habitation un logement;1.1.1;Habitation;2;1;7.38;20210907133337;Transformation;Hors-sol;Collonge-Bellerive;122.869154165;59.5422911799936
1770;295525521;DD 315397;Bâtiment;;Dépôt;3.5.1;Activités;1;0;17.85;20210908081944;Nouveau;Hors-sol;Meyrin;1077.596624275;131.339976139338
1771;295525998;APA 317403;Bâtiment;;Habitation un logement;1.1.1;Habitation;2;1;8.79;20211223113318;Nouveau;Hors-sol;Anières;97.71094333;40.3382211070996
1772;295524173;DD 113850/2;Bâtiment;;Autre bât. < 20 m2;5.3;Autre bâtiment;0;1;4.03;20220103114419;Nouveau;Sous-sol;Chêne-Bougeries;607.248701245;163.690843405352
1773;295097005;DD 317063;Bâtiment;;Bureaux;3.4.1;Activités;5;0;18.01;20220103125826;Transformation;Hors-sol;Genève-Plainpalais;814.840969655;139.663672194005
1774;295526006;DD 317063;Bâtiment;;Autre bât. 20m2 et plus;5.1;Autre bâtiment;0;1;3.5;20220103125744;Nouveau;Sous-sol;Genève-Plainpalais;904.69913041;128.791871783184
1775;295109553;DD 103580;Bâtiment;;Autre bât. 20m2 et plus;5.1;Autre bâtiment;0;1;;20100429131354;Transformation;Sous-sol;Bellevue;483.652763265;103.397121356646
1776;295154773;DD 103943;Bâtiment;;Habitation un logement;1.1.1;Habitation;2;1;6.2;20101001094936;Nouveau;Hors-sol;Genthod;72.0888771;33.9996415450878
1777;295511289;DD 106666;Bâtiment;;Habitation un logement;1.1.1;Habitation;2;1;7.8;20140314115221;Nouveau;Hors-sol;Genthod;179.76564948;56.4011412529566
1778;295511290;DD 106666;Bâtiment;;Garage privé;5.2;Autre bâtiment;1;0;3.75;20140314115245;Nouveau;Hors-sol;Genthod;38.99993728;24.9999877875435
1779;295512243;DD 106108/5;Bâtiment;;Commerce;3.3.3;Activités;2;0;7.05;20191127110214;Nouveau;Hors-sol;Versoix;2021.815655205;305.944608651606
1780;295512244;DD 106108/5;Bâtiment;;Autre bât. 20m2 et plus;5.1;Autre bâtiment;0;1;7.2;20191127110214;Nouveau;Sous-sol;Versoix;4670.02479666;345.862932173778
1781;295071187;DD 319712;Bâtiment;;Garage privé;5.2;Autre bâtiment;1;0;3.05;20220517091641;Transformation;Hors-sol;Cologny;5.81663734;9.90737525030244
1782;295512372;DD 106194/2;Bâtiment;;Atelier;3.2.2;Activités;3;0;11.02;20191127090230;Nouveau;Hors-sol;Versoix;223.02171386;62.2090637317165
1783;295526472;DD 319801/1;Bâtiment;;Dépôt;3.5.1;Activités;2;1;9.95;20220506141136;Nouveau;Hors-sol;Meyrin;443.84972179;82.6345246733373
1784;295512672;DD 106460;Bâtiment;;Habitation un logement;1.1.1;Habitation;2;1;6.2;20140414162607;Nouveau;Hors-sol;Genthod;250.760219825;70.9999862415506
1785;295525316;DD 314843;Bâtiment;;Autre bât. 20m2 et plus;5.1;Autre bâtiment;0;1;2.9;20210722155439;Nouveau;Sous-sol;Bardonnex;642.08525892;119.157036923491
1786;295525724;DD 316110;Bâtiment;;Habitation un logement;1.1.1;Habitation;2;1;6.04;20211025104534;Nouveau;Hors-sol;Presinge;47.908483925;27.9133406697683
1787;295525725;DD 316110;Bâtiment;;Habitation un logement;1.1.1;Habitation;2;1;6.04;20211025104734;Nouveau;Hors-sol;Presinge;47.67782542;27.8558210425332
1788;295525726;DD 316110;Bâtiment;;Habitation un logement;1.1.1;Habitation;2;1;6.04;20211025104738;Nouveau;Hors-sol;Presinge;44.966413005;27.1666079570821
1789;1002586;DD 316263;Bâtiment;;Habitation un logement;1.1.1;Habitation;2;1;6.13;20211025111923;Transf-Surelev;Hors-sol;Bernex;157.41978428;51.1004779758507
1790;295525728;DD 316117;Bâtiment;;Autre bât. d'activités;3.7.1;Activités;5;1;23.65;20211025114904;Nouveau;Hors-sol;Meyrin;5097.19195404;291.176118190831
1791;295525731;APA 316420;Bâtiment;;Autre bât. 20m2 et plus;5.1;Autre bâtiment;1;0;3;20211026085939;Nouveau;Hors-sol;Veyrier;24.00012564;22.0001460504989
1792;295525732;APA 316421;Bâtiment;;Atelier;3.2.2;Activités;1;0;3.16;20211026091908;Nouveau;Hors-sol;Collonge-Bellerive;36.6445788;27.9399474916547
1793;295525733;APA 316421;Bâtiment;;Autre bât. 20m2 et plus;5.1;Autre bâtiment;1;0;2.59;20211026091943;Nouveau;Hors-sol;Collonge-Bellerive;20.49486818;19.7027447071681
