EGID;VOLUME;SURFACE_TOTALE;SURFACE_PARTAGE;SURFACE_TOTALE_HS;DATE_LEVE;OBJECTID
295517324;8715.192;1827;400.41;1822.726;20230301;79690
295520232;34.624;41;27.86;40.531;20230301;79691
295515694;471.697;239;62.62;234.059;20230301;79692
1004536;687.021;243;0;208.85;20230301;79693
295518418;4897.739;1032;0;1015.703;20230301;79694
1022346;608.202;285;57.04;280.058;20230301;79804
295517681;824.391;375;12.59;354.944;20230301;79805
295512679;735.901;228;8.71;208.933;20230301;79806
1004666;1093.189;416;66.63;342.783;20230301;79807
295105884;172.189;84;0;84.017;20230301;79808
295521436;862.765;375;55.63;370.577;20230301;79809
1004441;880.953;256;0;255.517;20230301;79810
295520893;305.875;151;0;102.036;20230301;79811
295519653;479.753;248;159.27;240.216;20230301;79812
1023152;611.952;186;61.83;172.505;20230301;79813
295516959;8127.746;2077;365.61;2041.287;20230301;81172
295526136;70.099;62;0;58.529;20230301;81173
295520489;10966.779;2487;339.49;2446.126;20230301;81174
295516002;3868.483;953;0;944.421;20230301;81175
295112270;5457.13;972;0;754.63;20230301;81176
295093475;145.893;74;0;72.078;20230301;79934
295519282;15744.016;2577;0;2564.054;20230301;79935
1003352;1835.813;517;258.76;512.638;20230301;79936
295516007;470.66;220;60.09;217.052;20230301;79937
295071555;38.065;52;28.13;51.578;20230301;79938
295074471;78.235;46;8;45.117;20230301;79939
295526984;251.704;164;0;156.594;20230301;79940
295516589;774.912;299;0;269.5;20230301;79941
295517906;40.868;42;12.51;41.106;20230301;79942
2376761;626.064;268;75.86;256.038;20230301;79943
295105802;20170.399;3046;53.2;2753.251;20230301;80081
295087963;24.191;35;0;33.963;20230301;80082
295050037;612.052;213;16.03;208.311;20230301;80083
295076140;435.985;218;0;217.673;20230301;80084
295513014;1221.072;434;0;344.381;20230301;80085
3131828;787.85;283;65.03;276.081;20230301;80086
1003538;5659.429;1357;546.45;1348.52;20230301;80087
1004733;2387.965;811;0;690.464;20230301;80088
295077971;26632.413;5399;0;5380.912;20230301;80231
295099553;92.912;62;0;61.917;20230301;80232
295524827;486.82;228;73.2;222.753;20230301;80233
295526716;465.971;142;0;138.435;20230301;80234
295515737;4144.361;1111;0;1058.791;20230301;80235
1027534;1169.937;371;0;365.884;20230301;80236
295525046;56.414;58;0;56.497;20230301;80237
2034932;7496.324;1938;0;1904.993;20230301;80238
295523974;657.753;273;0.28;265.502;20230301;80366
295514464;654.4;248;55.31;245.287;20230301;80367
295528106;32.364;38;0;36.624;20230301;80368
295100312;77.742;56;0;44.029;20230301;80369
295523739;27.29;31;0;30.65;20230301;80370
295516948;11192.564;2482;0;2233.242;20230301;80371
1023107;864.325;272;135;220.696;20230301;80372
295174134;433.619;171;52.91;168.733;20230301;80373
295522871;461.406;212;18.05;209.162;20230301;80374
295526595;32.291;40;8;39.827;20230301;80375
295521642;475.82;216;30.54;215.416;20230301;80376
295161257;817.545;353;15.24;344.305;20230301;80377
295517056;5325.925;1057;240.76;1046.984;20230301;80378
295517963;19.254;27;0;26.55;20230301;80379
1032143;773.778;254;5.94;233.625;20230301;80530
295517986;476.451;225;124.44;222.215;20230301;80531
295523768;44.974;51;0;51.341;20230301;80532
1019483;430.643;216;41.14;211.186;20230301;80533
295075456;56.732;42;0;39.514;20230301;80534
295517064;718.113;270;32.6;242.321;20230301;80535
295518048;10230.245;2027;350.44;2001.935;20230301;80536
295526549;14.705;24;0;23.744;20230301;80537
1023040;683.988;191;3.63;184.265;20230301;80538
1004480;757.878;248;0;214.622;20230301;80539
295132368;415.507;194;16.29;175.079;20230301;80540
295153158;16.426;29;0;27.952;20230301;80657
295518800;21767.996;3356;0;3276.14;20230301;80658
295010206;7260.549;1707;340.78;1696.605;20230301;80659
295517863;52.127;53;0;52.673;20230301;80660
295518871;3392.242;731;0;544.326;20230301;80661
295525127;52.782;38;0;36.239;20230301;80662
295522632;440.082;239;14.72;234.604;20230301;80663
1023915;821.576;296;109.78;259.17;20230301;80664
1003509;7669.037;1586;190.44;1532.131;20230301;80665
295527678;585.24;206;7.26;204.78;20230301;80818
295111393;686.724;321;68.56;279.385;20230301;80819
295528082;48.506;97;0;95.704;20230301;80820
295073822;23.452;27;0;25.121;20230301;80821
295100429;6.207;13;0;13.774;20230301;80822
